Date,Open,High,Low,Close,Volume,Change,Change Percent,VWAP
7/13/2023,190.5,191.19,189.78,190.54,41342338,0.04,0.02099738,190.5025
7/14/2023,190.23,191.18,189.63,190.69,41616242,0.46,0.24181,190.4325
7/17/2023,191.9,194.32,191.81,193.99,50520200,2.09,1.09,193.005
7/18/2023,193.35,194.33,192.42,193.73,48353774,0.38,0.19653,193.4575
7/19/2023,193.1,198.23,192.65,195.1,80507323,2,1.04,194.77
7/20/2023,195.09,196.47,192.5,193.13,59581200,-1.96,-1,194.2975
7/21/2023,194.1,194.97,191.23,191.94,71951700,-2.16,-1.11,193.06
7/24/2023,193.41,194.91,192.25,192.75,45505097,-0.66,-0.34124,193.33
7/25/2023,193.33,194.44,192.92,193.62,37283201,0.29,0.15,193.5775
7/26/2023,193.67,195.64,193.32,194.5,47471900,0.83,0.42856,194.2825
7/27/2023,196.02,197.2,192.55,193.22,47460200,-2.8,-1.43,194.7475
7/28/2023,194.67,196.63,194.14,195.83,48291443,1.16,0.59588,195.3175
7/31/2023,196.06,196.49,195.26,196.45,38824113,0.39,0.19892,196.065
8/1/2023,196.24,196.73,195.28,195.61,35281426,-0.63,-0.32104,195.965
8/2/2023,195.04,195.18,191.85,192.58,50389327,-2.46,-1.26,193.6625
8/3/2023,191.57,192.37,190.69,191.17,62243282,-0.4,-0.2088,191.45
8/4/2023,185.52,187.38,181.92,181.99,115956841,-3.53,-1.9,184.2025
8/7/2023,182.13,183.13,177.35,178.85,97576100,-3.28,-1.8,180.365
8/8/2023,179.69,180.27,177.58,179.8,67823003,0.11,0.06121654,179.335
8/9/2023,180.87,180.93,177.01,178.19,60378500,-2.68,-1.48,179.25
8/10/2023,179.48,180.75,177.6,177.97,54686900,-1.51,-0.84132,178.95
8/11/2023,177.32,178.62,176.55,177.79,52036700,0.47,0.26506,177.57
8/14/2023,177.97,179.69,177.31,179.46,43675627,1.49,0.83722,178.6075
8/15/2023,178.88,179.48,177.05,177.45,43622600,-1.43,-0.79942,178.215
8/16/2023,177.13,178.54,176.5,176.57,46964900,-0.56,-0.31615,177.185
8/17/2023,177.14,177.51,173.48,174,66062900,-3.14,-1.77,175.5325
8/18/2023,172.3,175.1,171.96,174.49,61172200,2.19,1.27,173.4625
8/21/2023,175.07,176.13,173.74,175.84,46311900,0.77,0.43982,175.195
8/22/2023,177.06,177.68,176.25,177.23,42084245,0.17,0.09601265,177.055
8/23/2023,178.52,181.55,178.33,181.12,52722800,2.6,1.46,179.88
8/24/2023,180.67,181.1,176.01,176.38,54945800,-4.29,-2.37,178.54
8/25/2023,177.38,179.15,175.82,178.61,51449600,1.23,0.69343,177.74
8/28/2023,180.09,180.59,178.55,180.19,43820700,0.1,0.05552779,179.855
8/29/2023,179.7,184.9,179.5,184.12,53003948,4.43,2.46,182.055
8/30/2023,184.94,187.85,184.74,187.65,60813900,2.71,1.47,186.295
8/31/2023,187.84,189.12,187.48,187.87,60794500,0.03,0.01597104,188.0775
9/1/2023,189.49,189.92,188.28,189.46,45766503,-0.025,-0.01583197,189.2875
9/5/2023,188.28,189.98,187.61,189.7,45280027,1.42,0.7542,188.8925
9/6/2023,188.4,188.85,181.47,182.91,81755816,-5.49,-2.91,185.4075
9/7/2023,175.18,178.21,173.54,177.56,112488803,2.38,1.36,176.1225
9/8/2023,178.35,180.24,177.79,178.18,65602066,-0.17,-0.09531819,178.64
9/11/2023,180.07,180.3,177.34,179.36,58953100,-0.71,-0.39429,179.2675
9/12/2023,179.49,180.13,174.82,176.3,90370200,-3.19,-1.78,177.685
9/13/2023,176.51,177.3,173.98,174.21,84267928,-2.3,-1.3,175.5
9/14/2023,174,176.1,173.58,175.74,60895800,1.74,1,174.855
9/15/2023,176.48,176.5,173.82,175.01,109259500,-1.47,-0.83296,175.4525
9/18/2023,176.48,179.38,176.17,177.97,67257600,1.49,0.84429,177.5
9/19/2023,177.52,179.63,177.13,179.07,51826941,1.55,0.87314,178.3375
9/20/2023,179.26,179.7,175.4,175.49,58436200,-3.77,-2.1,177.4625
9/21/2023,174.55,176.3,173.86,173.93,63149116,-0.62,-0.3552,174.66
9/22/2023,174.67,177.08,174.05,174.79,56725400,0.12,0.06870098,175.1475
9/25/2023,174.2,176.97,174.15,176.08,46172740,1.88,1.08,175.35
9/26/2023,174.82,175.2,171.66,171.96,64588945,-2.86,-1.64,173.41
9/27/2023,172.62,173.04,169.05,170.43,66921808,-2.19,-1.27,171.285
9/28/2023,169.34,172.03,167.62,170.69,56294419,1.35,0.79721,169.92
9/29/2023,172.02,173.07,170.34,171.21,51861100,-0.81,-0.47088,171.66
10/2/2023,171.22,174.3,170.93,173.75,52164535,2.53,1.48,172.55
10/3/2023,172.26,173.63,170.82,172.4,49594613,0.145,0.0812725,172.2775
10/4/2023,171.09,174.21,170.97,173.66,53020300,2.57,1.5,172.4825
10/5/2023,173.79,175.45,172.68,174.91,48527918,1.12,0.64446,174.2075
10/6/2023,173.8,177.99,173.18,177.49,57266700,3.69,2.12,175.615
10/9/2023,176.81,179.05,175.8,178.99,42390800,2.18,1.23,177.6625
10/10/2023,178.1,179.72,177.95,178.39,43698019,0.29,0.16283,178.54
10/11/2023,178.2,179.85,177.6,179.8,47551100,1.6,0.89787,178.8625
10/12/2023,180.07,182.34,179.04,180.71,56743119,0.64,0.35542,180.54
10/13/2023,181.42,181.93,178.14,178.85,51456082,-2.57,-1.42,180.085
10/16/2023,176.75,179.08,176.51,178.72,52517000,1.97,1.11,177.765
10/17/2023,176.65,178.42,174.8,177.15,57549400,0.505,0.28305,176.755
10/18/2023,175.58,177.58,175.11,175.84,54764400,0.26,0.14808,176.0275
10/19/2023,176.04,177.84,175.19,175.46,59302900,-0.58,-0.32947,176.1325
10/20/2023,175.31,175.42,172.64,172.88,64244028,-2.43,-1.39,174.0625
10/23/2023,170.91,174.01,169.93,173,55980109,2.09,1.22,171.9625
10/24/2023,173.05,173.67,171.45,173.44,43816644,0.39,0.22537,172.9025
10/25/2023,171.88,173.06,170.65,171.1,57157000,-0.78,-0.4538,171.6725
10/26/2023,170.37,171.38,165.67,166.89,70625300,-3.48,-2.04,168.5775
